Sample,Sample_or_Control
FMD_002,Sample
FMD_003,Sample
FMD_004,Sample
FMD_006,Sample
FMD_007,Sample
FMD_008,Sample
FMD_009,Sample
FMD_012,Sample
FMD_013,Sample
FMD_014,Sample
FMD_015,Sample
FMD_017,Sample
FMD_021,Sample
FMD_023,Sample
FMD_024,Sample
FMD_025,Sample
FMD_026,Sample
FMD_027,Sample
FMD_028,Sample
FMD_029,Sample
FMD_032,Sample
FMD_033,Sample
FMD_034,Sample
FMD_035,Sample
FMD_037,Sample
FMD_038,Sample
FMD_039_040,Sample
FMD_043_044,Sample
FMD_050,Sample
FMD_051,Sample
FMD_052,Sample
FMD_058,Sample
FMD_059,Sample
NC1,Control
NC2,Control
NC3,Control
NC4,Control